Parts;Qty;Value;Device;Package;Description
R2, R4;2;100K 1/10W;SMD-RES-100K-5%-1/10W(0603);R0603;301010089
R1, R3, R7;3;100R;SMD-RES-100R-5%-1/10W(0603);R0603;301010090
R11;1;;V3-SCL;;PHOTODIODE
R14;1;;V1;;PHOTODIODE
R15;1;;V2-SDA;;PHOTODIODE
R5, R9;2;15K 1/10W;SMD-RES-15K-1%-1/10W(0603);R0603;301010241
R16;1;1K 1/10W;SMD-RES-1K-5%-1/10W(0603);R0603;301010291
R6, R10, R12;3;10K;SMD-RES-10K-1%-1/10W(0603);R0603;301010299
C2, C3, C6, C7;4;100nf;CERAMIC-100NF-50V-10%-X7R(0603);C0603;302010138
C1;1;10uf;CERAMIC-10UF-10V-10%-X5R(0603);C0603;302010103
D1, D2;2;1N4148WSF;1N4148WS;SODFL2512X100N;1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F
D3;1;VBPW34S;VBPW34S;SOD6439X130N;VBPW34SR Series 60 V 940 nm 50 mA 215 mW Surface Mount Silicon PIN Photodiode
Q1, Q2;2;5.8A/30V/35mΩ;MOSFET-NCH-AO3404A;SOT23-3;N-channel MOSFETs
J1;1;6,87106E+11;6,87106E+11;6,87106E+11;6,87106E+11
U1;1;ATMEGA328P_TQFP;ATMEGA328P_TQFP;TQFP32-08;Popular 328P in QFP
X1;1;CSTCE8M00G52Z-R0;CSTCE16M0V53-R0;CFP95P160X100-3N;Ceramic Resonator 16MHz ±0.5% (Tol) 0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R
U$3;1;DUAL-LED-0603-BIS;DUAL-LED-0603-BIS;LED_APHB1608SYKSURKC;
LD11172.5V;1;LD1117 2.5V;LD1117-3.3;SOT223;
