"Qty","Value","Device","Package","Parts","Description","",
"1","1000pF","CERAMIC-100NF-50V-10%-X7R(0603)","C0603","C3","302010138","",
"2","100K 1/10W","SMD-RES-100K-5%-1/10W(0603)","R0603","R2, R4","301010089","",
"3","100R","SMD-RES-100R-5%-1/10W(0603)","R0603","R1, R3, R7","301010090","",
"3","100nf","CERAMIC-100NF-50V-10%-X7R(0603)","C0603","C2, C6, C7","302010138","",
"4","10K","SMD-RES-10K-1%-1/10W(0603)","R0603","R6, R8, R10, R12","301010299","",
"1","10uf","CERAMIC-10UF-10V-10%-X5R(0603)","C0603","C1","302010103","",
"2","15K 1/10W","SMD-RES-15K-1%-1/10W(0603)","R0603","R5, R9","301010241","",
"1","1K 1/10W","SMD-RES-1K-5%-1/10W(0603)","R0603","R11","301010291","",
"2","1N4148WSF","1N4148WS","SODFL2512X100N","D1, D2","1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F","",
"2","5.8A/30V/35mΩ","MOSFET-NCH-AO3404A","SOT23-3","Q1, Q2","N-channel MOSFETs","",
"1","687106183722","687106183722","687106183722","J1","687106183722","",
"1","AD654","AD654","SOIC8","IC1","Low Cost Monolithic Voltage-to-Frequency Converter","",
"1","ATMEGA328P_TQFP","ATMEGA328P_TQFP","TQFP32-08","U1","Popular 328P in QFP","",
"1","CSTCE8M00G52Z-R0","CSTCE16M0V53-R0","CFP95P160X100-3N","Y1","Ceramic Resonator 16MHz ±0.5% (Tol) ±0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R","",
"1","FFA","SX70-FFA-PAD","FFA-PAD-PACKAGE","U$2","","",
"1","ICSP","ICSP","H2X3-2.54","ICSP","","",
"1","LD1117 2.5V","LD1117-3.3","SOT223","LD11172.5V","","",
"1","LTST-C195KGJRKT","LTST-C195KGJRKT","LTST-BILED-15X16","U$4","","",
"1","SX70-7-PAD","SX70-7-PAD","SX70-7-PAD-PROPER","U$1","","",
"6","SX70-S-PAD-NEW","SX70-S-PAD-NEW","SX70-S-PAD2","S1+, S1-, S2+, S2-, SOL2+, SOL2-","","",
"1","SX70-SOLENOID1-2PADS","SX70-SOLENOID1-2PADS","SX70-SOLENOID1-2","SOL1","","",
"1","TEST-POINT3X4","TEST-POINT3X4","PAD.03X.04","TP1","SparkFun Test Points","",
"1","VBPW34S","VBPW34S","SOD6439X130N","D3","VBPW34SR Series 60 V 940 nm 50 mA 215 mW Surface Mount Silicon PIN Photodiode","",
