"Part";"Value";"Device";"Package";"Description";"";
"BUZZ1";"CSET8-5G";"CSET8-5G";"CSET8-5G_PACKAGE";"";"";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C2";"100nF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C5";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C6";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";
"D1";"1N4148WSF";"DSOD323";"SOD323";"DIODE";"";
"D2";"1N4148WSF";"DSOD323";"SOD323";"DIODE";"";
"J1";"GND";"XF2L-0625-1";"XF2L-0625-1";"OMRON FPC Connector";"";
"JP1";"FTDI VCC SELECTOR";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";
"LD11172.5V";"LD1117 2.5V";"LD1117-3.3";"SOT223";"";"";
"LED1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"MISO";"PTR1TP08R";"PTR1TP08R";"TP08R";"TEST PIN";"";
"MOSI";"PTR1TP08R";"PTR1TP08R";"TP08R";"TEST PIN";"";
"Q1";"5.8A/30V/35mO";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";
"Q2";"5.8A/30V/35mO";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";
"R1";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R2";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R3";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R4";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R5";"15K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R6";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R7";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R8";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R9";"15K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R10";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R12";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R13";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R14";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"S1+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"S1-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"S2+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"S2-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"SCK";"PTR1TP08R";"PTR1TP08R";"TP08R";"TEST PIN";"";
"SCL";"PTR1TP08R";"PTR1TP08R";"TP08R";"TEST PIN";"";
"SDA";"PTR1TP08R";"PTR1TP08R";"TP08R";"TEST PIN";"";
"SOL1";"SX70-SOLENOID1-2PADS";"SX70-SOLENOID1-2PADS";"SX70-SOLENOID1-2";"";"";
"SOL2+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"SOL2-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"TP-3.3V";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"TP-6V";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"TP-GND";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";
"U$1";"SX70-7-PAD";"SX70-7-PAD";"SX70-7-PAD";"";"";
"U$2";"FFA";"SX70-FFA-PAD";"FFA-PAD-PACKAGE";"";"";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";
"U3";"BH1750FVI-TR";"BH1750FVI-TR";"SOTFL50P300X75-6N";"Light to Digital Ambient Light Sensor Digital O/P 1lux to 65535lux 6-Pin WSOF Embossed T/R";"";
"Y1";"CSTCE16M0V53-R0";"CSTCE16M0V53-R0";"CFP95P160X100-3N";"Ceramic Resonator 16MHz ±0.5% (Tol) ±0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R";"";
